location_clean,us_region
"bay area, us",West coast
"seattle, us",West coast
"new york, us",Northeast
"atlanta, us",Southeast
"washington dc, us",Northeast
us,Unspecified
"texas, us",Southwest
"chicago, us",Midwest
"denver, us",West coast
"socal, us",West coast
"new jersey, us",Northeast
"northwest, us",West coast
"south carolina, us",Southeast
"virginia, us",Southeast
"midwest, us",Midwest
"pacific nw, us",West coast
"dallas, us",Southwest
"florida, us",Southeast
"miami, us",Southeast
"california, us",West coast
"ohio, us",Midwest
"bentonville, us",Midwest
"los angeles, us",West coast
"tennessee, us",Southeast
"kansas, us",Midwest
"west coast, us",West coast
"pennsylvania, us",Northeast
"illinois, us",Midwest
"pittsburgh, us",Northeast
"minneapolis, us",Midwest
"east coast, us",Northeast
"boston, us",Northeast
"baltimore, us",Northeast
"northeast, us",Northeast
"st louis, us",Midwest
"north carolina, us",Southeast
"chattanooga, us",Southeast
"minnesota, us",Midwest
"philadelphia, us",Northeast